Cliente,Latitud,Longitud,Periodo,Temperatura,Apertura Puerta,Trafico
481820,25.681639,-100.496124,1/24/2017 9:00,,1,0
481820,25.681639,-100.496124,1/24/2017 8:00,,3,0
481820,25.681639,-100.496124,1/24/2017 7:00,,7,0
481820,25.681639,-100.496124,1/24/2017 6:00,,3,0
481820,25.681639,-100.496124,1/24/2017 5:00,,0,0
481820,25.681639,-100.496124,1/24/2017 4:00,,0,0
481820,25.681639,-100.496124,1/24/2017 3:00,,0,0
481820,25.681639,-100.496124,1/24/2017 2:00,,0,0
481820,25.681639,-100.496124,1/24/2017 1:00,,0,0
481820,25.681639,-100.496124,1/24/2017 0:00,,0,0
481820,25.681639,-100.496124,1/23/2017 23:00,,0,0
481820,25.681639,-100.496124,1/23/2017 22:00,,0,0
481820,25.681639,-100.496124,1/23/2017 21:00,,0,0
481820,25.681639,-100.496124,1/23/2017 20:00,,1,0
481820,25.681639,-100.496124,1/23/2017 19:00,5,3,0
481820,25.681639,-100.496124,1/23/2017 18:00,6,0,0
481820,25.681639,-100.496124,1/23/2017 17:00,5,2,0
481820,25.681639,-100.496124,1/23/2017 16:00,6,0,0
481820,25.681639,-100.496124,1/23/2017 15:00,6,0,0
481820,25.681639,-100.496124,1/23/2017 14:00,6,1,0
481820,25.681639,-100.496124,1/23/2017 13:00,5,0,0
481820,25.681639,-100.496124,1/23/2017 12:00,5,2,0
481820,25.681639,-100.496124,1/23/2017 11:00,5,2,0
481820,25.681639,-100.496124,1/23/2017 10:00,5,0,0
481820,25.681639,-100.496124,1/23/2017 9:00,5,0,0
481820,25.681639,-100.496124,1/23/2017 8:00,5,2,0
481820,25.681639,-100.496124,1/23/2017 7:00,6,6,0
481820,25.681639,-100.496124,1/23/2017 6:00,5,4,0
481820,25.681639,-100.496124,1/23/2017 5:00,6,0,0
481820,25.681639,-100.496124,1/23/2017 4:00,6,0,0
481820,25.681639,-100.496124,1/23/2017 3:00,5,0,0
481820,25.681639,-100.496124,1/23/2017 2:00,6,0,0
481820,25.681639,-100.496124,1/23/2017 1:00,6,0,0
481820,25.681639,-100.496124,1/23/2017 0:00,5,0,0
481820,25.681639,-100.496124,1/22/2017 23:00,6,0,0
481820,25.681639,-100.496124,1/22/2017 22:00,5,0,0
481820,25.681639,-100.496124,1/22/2017 21:00,5,0,0
481820,25.681639,-100.496124,1/22/2017 20:00,6,0,0
481820,25.681639,-100.496124,1/22/2017 19:00,5,3,0
481820,25.681639,-100.496124,1/22/2017 18:00,6,2,0
481820,25.681639,-100.496124,1/22/2017 17:00,5,3,0
481820,25.681639,-100.496124,1/22/2017 16:00,6,0,0
481820,25.681639,-100.496124,1/22/2017 15:00,5,1,89
481820,25.681639,-100.496124,1/22/2017 14:00,5,4,100
481820,25.681639,-100.496124,1/22/2017 13:00,6,3,102
481820,25.681639,-100.496124,1/22/2017 12:00,,5,95
481820,25.681639,-100.496124,1/22/2017 11:00,,0,35
481820,25.681639,-100.496124,1/22/2017 8:00,8,,
481820,25.681639,-100.496124,1/22/2017 7:00,6,,
481820,25.681639,-100.496124,1/22/2017 6:00,6,0,0
481820,25.681639,-100.496124,1/22/2017 5:00,7,0,0
481820,25.681639,-100.496124,1/22/2017 4:00,7,0,1
481820,25.681639,-100.496124,1/22/2017 3:00,6,0,0
481820,25.681639,-100.496124,1/22/2017 2:00,5,0,0
481820,25.681639,-100.496124,1/22/2017 1:00,5,0,0
481820,25.681639,-100.496124,1/22/2017 0:00,6,0,0
481820,25.681639,-100.496124,1/21/2017 23:00,5,0,0
481820,25.681639,-100.496124,1/21/2017 22:00,6,3,55
481820,25.681639,-100.496124,1/21/2017 21:00,5,2,55
481820,25.681639,-100.496124,1/21/2017 20:00,6,1,129
481820,25.681639,-100.496124,1/21/2017 19:00,5,0,27
481820,25.681639,-100.496124,1/21/2017 18:00,6,3,40
481820,25.681639,-100.496124,1/21/2017 17:00,5,0,60
481820,25.681639,-100.496124,1/21/2017 16:00,5,1,87
481820,25.681639,-100.496124,1/21/2017 15:00,6,0,49
481820,25.681639,-100.496124,1/21/2017 14:00,5,2,86
481820,25.681639,-100.496124,1/21/2017 13:00,5,1,108
481820,25.681639,-100.496124,1/21/2017 12:00,6,0,39
481820,25.681639,-100.496124,1/21/2017 11:00,5,5,126
481820,25.681639,-100.496124,1/21/2017 10:00,5,2,164
481820,25.681639,-100.496124,1/21/2017 9:00,5,0,49
481820,25.681639,-100.496124,1/21/2017 8:00,6,0,111
481820,25.681639,-100.496124,1/21/2017 7:00,5,0,5
481820,25.681639,-100.496124,1/21/2017 6:00,5,0,0
481820,25.681639,-100.496124,1/21/2017 5:00,6,0,0
481820,25.681639,-100.496124,1/21/2017 4:00,6,0,0
481820,25.681639,-100.496124,1/21/2017 3:00,7,0,0
481820,25.681639,-100.496124,1/21/2017 2:00,6,0,0
481820,25.681639,-100.496124,1/21/2017 1:00,6,0,0
481820,25.681639,-100.496124,1/21/2017 0:00,6,0,2
481820,25.681639,-100.496124,1/20/2017 23:00,4,0,25
481820,25.681639,-100.496124,1/20/2017 22:00,5,1,44
481820,25.681639,-100.496124,1/20/2017 21:00,6,2,36
481820,25.681639,-100.496124,1/20/2017 20:00,5,1,48
481820,25.681639,-100.496124,1/20/2017 19:00,5,6,98
481820,25.681639,-100.496124,1/20/2017 18:00,5,1,85
481820,25.681639,-100.496124,1/20/2017 17:00,5,1,82
481820,25.681639,-100.496124,1/20/2017 16:00,,0,111
481820,25.681639,-100.496124,1/20/2017 15:00,,3,98
481820,25.681639,-100.496124,1/20/2017 14:00,6,0,77
481820,25.681639,-100.496124,1/20/2017 13:00,6,0,98
481820,25.681639,-100.496124,1/20/2017 12:00,5,0,155
481820,25.681639,-100.496124,1/20/2017 11:00,7,0,76
481820,25.681639,-100.496124,1/20/2017 10:00,6,1,114
481820,25.681639,-100.496124,1/20/2017 9:00,5,1,78
481820,25.681639,-100.496124,1/20/2017 8:00,6,2,77
481820,25.681639,-100.496124,1/20/2017 7:00,6,3,49
481820,25.681639,-100.496124,1/20/2017 6:00,5,0,0
481820,25.681639,-100.496124,1/20/2017 5:00,6,0,0
481820,25.681639,-100.496124,1/20/2017 4:00,6,0,0
481820,25.681639,-100.496124,1/20/2017 3:00,7,0,0
481820,25.681639,-100.496124,1/20/2017 2:00,7,0,0
481820,25.681639,-100.496124,1/20/2017 1:00,7,0,3
481820,25.681639,-100.496124,1/20/2017 0:00,5,0,0
481820,25.681639,-100.496124,1/19/2017 23:00,6,0,19
481820,25.681639,-100.496124,1/19/2017 22:00,5,3,56
481820,25.681639,-100.496124,1/19/2017 21:00,6,6,89
481820,25.681639,-100.496124,1/19/2017 20:00,5,0,38
481820,25.681639,-100.496124,1/19/2017 19:00,6,1,60
481820,25.681639,-100.496124,1/19/2017 18:00,5,2,84
481820,25.681639,-100.496124,1/19/2017 17:00,6,0,30
481820,25.681639,-100.496124,1/19/2017 16:00,5,1,69
481820,25.681639,-100.496124,1/19/2017 15:00,6,2,106
481820,25.681639,-100.496124,1/19/2017 14:00,5,2,134
481820,25.681639,-100.496124,1/19/2017 13:00,6,0,77
481820,25.681639,-100.496124,1/19/2017 12:00,5,2,157
481820,25.681639,-100.496124,1/19/2017 11:00,6,1,55
481820,25.681639,-100.496124,1/19/2017 10:00,6,1,74
481820,25.681639,-100.496124,1/19/2017 9:00,5,5,165
481820,25.681639,-100.496124,1/19/2017 8:00,6,8,170
481820,25.681639,-100.496124,1/19/2017 7:00,5,5,84
481820,25.681639,-100.496124,1/19/2017 6:00,6,0,0
481820,25.681639,-100.496124,1/19/2017 5:00,5,0,0
481820,25.681639,-100.496124,1/19/2017 4:00,7,0,0
481820,25.681639,-100.496124,1/19/2017 3:00,7,0,0
481820,25.681639,-100.496124,1/19/2017 2:00,7,0,0
481820,25.681639,-100.496124,1/19/2017 1:00,6,0,0
481820,25.681639,-100.496124,1/19/2017 0:00,6,0,4
481820,25.681639,-100.496124,1/18/2017 23:00,6,0,8
481820,25.681639,-100.496124,1/18/2017 22:00,6,0,21
481820,25.681639,-100.496124,1/18/2017 21:00,6,1,31
481820,25.681639,-100.496124,1/18/2017 20:00,6,1,51
481820,25.681639,-100.496124,1/18/2017 19:00,5,1,31
481820,25.681639,-100.496124,1/18/2017 18:00,6,4,43
481820,25.681639,-100.496124,1/18/2017 17:00,5,2,19
481820,25.681639,-100.496124,1/18/2017 16:00,5,5,84
481820,25.681639,-100.496124,1/18/2017 15:00,6,2,90
481820,25.681639,-100.496124,1/18/2017 14:00,5,1,64
481820,25.681639,-100.496124,1/18/2017 13:00,6,0,45
481820,25.681639,-100.496124,1/18/2017 12:00,5,0,47
481820,25.681639,-100.496124,1/18/2017 11:00,5,0,18
481820,25.681639,-100.496124,1/18/2017 10:00,5,1,54
481820,25.681639,-100.496124,1/18/2017 9:00,5,4,121
481820,25.681639,-100.496124,1/18/2017 8:00,5,8,69
481820,25.681639,-100.496124,1/18/2017 7:00,5,4,89
481820,25.681639,-100.496124,1/18/2017 6:00,6,0,0
481820,25.681639,-100.496124,1/18/2017 5:00,5,0,0
481820,25.681639,-100.496124,1/18/2017 4:00,7,0,0
481820,25.681639,-100.496124,1/18/2017 3:00,6,0,0
481820,25.681639,-100.496124,1/18/2017 2:00,7,0,0
481820,25.681639,-100.496124,1/18/2017 1:00,7,0,1
481820,25.681639,-100.496124,1/18/2017 0:00,5,0,0
481820,25.681639,-100.496124,1/17/2017 23:00,5,0,16
481820,25.681639,-100.496124,1/17/2017 22:00,5,4,56
481820,25.681639,-100.496124,1/17/2017 21:00,5,0,32
481820,25.681639,-100.496124,1/17/2017 20:00,5,2,61
481820,25.681639,-100.496124,1/17/2017 19:00,6,0,21
481820,25.681639,-100.496124,1/17/2017 18:00,5,4,46
481820,25.681639,-100.496124,1/17/2017 17:00,5,0,42
