@relation AAC
@ATTRIBUTE x1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE x3 REAL
@ATTRIBUTE x4 REAL
@ATTRIBUTE x5 REAL
@ATTRIBUTE x6 REAL
@ATTRIBUTE x7 REAL
@ATTRIBUTE x8 REAL
@ATTRIBUTE x9 REAL
@ATTRIBUTE x10 REAL
@ATTRIBUTE x11 REAL
@ATTRIBUTE x12 REAL
@ATTRIBUTE x13 REAL
@ATTRIBUTE x14 REAL
@ATTRIBUTE x15 REAL
@ATTRIBUTE x16 REAL
@ATTRIBUTE x17 REAL
@ATTRIBUTE x18 REAL
@ATTRIBUTE x19 REAL
@ATTRIBUTE x20 REAL
@ATTRIBUTE class 	{1,2,3,4,5,6,7}


@DATA
6.23608,3.89755,3.11804,4.12027,5.45657,6.01336,2.44989,7.01559,4.67706,11.0245,1.67038,3.45212,5.67929,3.34076,3.45212,9.1314,6.4588,7.57238,1.78174,3.45212,1
6.34744,3.89755,3.2294,4.12027,5.34521,6.01336,2.33853,7.12695,4.67706,11.1359,1.67038,3.2294,5.56793,3.45212,3.56347,9.1314,6.34744,7.46102,1.78174,3.56347,1
7.5,3.26087,4.8913,4.67391,4.13043,5.21739,2.6087,7.06522,2.3913,10,1.95652,5,4.13043,2.6087,5.65217,8.15217,7.06522,8.15217,1.95652,3.58696,1
7.13624,3.05839,3.61446,6.8582,6.8582,6.20945,2.1316,7.50695,4.17053,8.89713,1.48285,4.54124,4.54124,4.7266,4.54124,9.08248,5.00463,5.37535,1.66821,2.595,1
7.13624,3.05839,3.52178,6.8582,6.8582,6.30213,2.03892,7.41427,4.17053,8.89713,1.39018,4.63392,4.54124,4.7266,4.54124,9.08248,5.00463,5.46803,1.66821,2.68767,1
6.70956,3.21691,3.67647,6.80147,7.07721,5.97426,2.02206,7.07721,4.31985,9.28309,0.827206,4.31985,4.59559,4.59559,4.31985,9.28309,5.60662,6.06618,1.65441,2.57353,1
7.69231,3.60273,3.89484,5.93963,6.52386,6.23174,1.94742,7.59494,4.96592,8.66602,1.16845,4.86855,4.18695,3.11587,4.77118,8.95813,6.13437,5.25803,1.46056,3.0185,1
6.51341,3.44828,2.93742,6.76884,7.40741,6.3857,2.42656,6.89655,4.34227,9.06769,1.53257,4.46999,4.85313,4.98084,4.34227,9.1954,5.23627,5.23627,1.53257,2.42656,1
7.09677,3.31797,3.59447,6.82028,6.91244,6.08295,2.11982,7.18894,4.3318,8.75576,1.19816,4.3318,5.16129,4.23963,4.42396,9.30876,5.52995,5.43779,1.65899,2.48848,1
6.7718,3.24675,3.71058,6.86456,7.05009,6.02968,2.04082,7.14286,4.35993,9.09091,0.834879,4.35993,4.54545,4.54545,4.35993,9.27644,5.56586,5.93692,1.66976,2.5974,1
7.04356,3.15107,3.61446,6.95088,6.67285,6.11677,2.22428,7.32159,4.07785,8.98981,1.57553,4.44856,4.44856,4.63392,4.63392,9.54588,4.91196,5.37535,1.57553,2.68767,1
7.5543,3.11615,3.305,7.17658,7.17658,5.85458,1.88857,6.98772,4.53258,8.68744,1.03872,5.66572,4.53258,3.02172,4.43815,9.91501,5.38244,5.57129,1.60529,2.54958,1
